r          d               f
9.4929     0.00166763   -3.24385875 
9.6148     0.00532496   -3.25707882 
9.6148     0.00532496   -3.25707882 
9.7127     0.00528856   -3.26888091 
9.7127     0.00528856   -3.26888091 
9.7174     0.01010601   -3.26733887 
9.7174     0.01010601   -3.26733887 
9.7305     0.00961855   -3.26912288 
9.7305     0.00961855   -3.26912288 
9.7469     0.00639244   -3.27250082 
9.7469     0.00639244   -3.27250082 
9.8199     0.00171700   -3.28325608 
9.8199     0.00171700   -3.28325608 
9.8264     0.00410316   -3.28298971 
9.8264     0.00410316   -3.28298971 
9.9276     0.00724241   -3.29360554 
9.9276     0.00724241   -3.29360554 
9.9308     0.00269063   -3.29597156 
9.9308     0.00269063   -3.29597156 
9.9452     0.00103702   -3.29839533 
9.9452     0.00103702   -3.29839533 
10.0356    0.00842365   -3.30578603 
10.0356    0.00842365   -3.30578603 
10.0829    0.00733236   -3.31179866 
10.0829    0.00733236   -3.31179866 
10.0832    0.00300815   -3.31371302 
10.0832    0.00300815   -3.31371302 
10.1264    0.00110964   -3.31957410 
10.1264    0.00110964   -3.31957410 
10.2096    0.00892835   -3.32581292 
10.2096    0.00892835   -3.32581292 
10.2470    0.00773282   -3.33064825 
10.2470    0.00773282   -3.33064825 
10.2702    0.00369669   -3.33508523 
10.2702    0.00369669   -3.33508523 
10.2981    0.00076158   -3.33957310 
10.2981    0.00076158   -3.33957310 
10.3487    0.00591312   -3.34312066 
10.3487    0.00591312   -3.34312066 
10.4045    0.00896966   -3.34815729 
10.4045    0.00896966   -3.34815729 
10.4724    0.00211793   -3.35886953 
10.4724    0.00211793   -3.35886953 
10.5942    0.00879035   -3.36970825 
10.5942    0.00879035   -3.36970825 
10.6927    0.00785085   -3.38115613 
10.6927    0.00785085   -3.38115613 
10.8167    0.00448169   -3.39641065 
10.8167    0.00448169   -3.39641065 
10.8564    0.00081618   -3.40240096 
10.8564    0.00081618   -3.40240096 
10.9205    0.00174128   -3.40905352 
10.9205    0.00174128   -3.40905352 
10.9633    0.00112554   -3.41402163 
10.9633    0.00112554   -3.41402163 
10.9800    0.00146981   -3.41570046 
10.9800    0.00146981   -3.41570046 
11.0899    0.00251005   -3.42723234 
11.0899    0.00251005   -3.42723234 
11.0985    0.00481401   -3.42716520 
11.0985    0.00481401   -3.42716520 
11.1293    0.00398930   -3.43085863 
11.1293    0.00398930   -3.43085863 
11.1404    0.00694312   -3.43077962 
11.1404    0.00694312   -3.43077962 
11.1675    0.00815565   -3.43317497 
11.1675    0.00815565   -3.43317497 
11.1975    0.00552967   -3.43755802 
11.1975    0.00552967   -3.43755802 
11.2160    0.00077359   -3.44162510 
11.2160    0.00077359   -3.44162510 
11.2376    0.00749674   -3.44102300 
11.2376    0.00749674   -3.44102300 
11.2433    0.00602679   -3.44227632 
11.2433    0.00602679   -3.44227632 
11.2497    0.00765872   -3.44224897 
11.2497    0.00765872   -3.44224897 
11.2886    0.00315474   -3.44839484 
11.2886    0.00315474   -3.44839484 
11.4227    0.00605432   -3.46143893 
11.4227    0.00605432   -3.46143893 
11.4622    0.00325902   -3.46685176 
11.4622    0.00325902   -3.46685176 
11.5297    0.00760337   -3.47209595 
11.5297    0.00760337   -3.47209595 
11.5408    0.00492831   -3.47443217 
11.5408    0.00492831   -3.47443217 
11.5712    0.00239823   -3.47874234 
11.5712    0.00239823   -3.47874234 
11.5904    0.00104204   -3.48135292 
11.5904    0.00104204   -3.48135292 
11.6648    0.00068669   -3.48930672 
11.6648    0.00068669   -3.48930672 
11.7669    0.00634649   -3.49748520 
11.7669    0.00634649   -3.49748520 
11.9023    0.00725279   -3.51109744 
11.9023    0.00725279   -3.51109744 
11.9684    0.00177434   -3.52028327 
11.9684    0.00177434   -3.52028327 
12.0026    0.00730479   -3.52136865 
12.0026    0.00730479   -3.52136865 
12.0154    0.00118221   -3.52534791 
12.0154    0.00118221   -3.52534791 
12.0185    0.00384042   -3.52451295 
12.0185    0.00384042   -3.52451295 
12.0404    0.00171533   -3.52767515 
12.0404    0.00171533   -3.52767515 
12.1833    0.00081559   -3.54259998 
12.1833    0.00081559   -3.54259998 
