r          d               f
#0.0000     61.49137330  -0.62689132 
1.0000     0.06931446   -1.44066627 
1.0000     0.06931446   -1.44066627 
1.0000     0.06931446   -1.44066627 
1.0000     0.06931446   -1.44066627 
1.4142     0.05434254   -1.68660924 
1.4142     0.05434254   -1.68660924 
1.4142     0.05434254   -1.68660924 
1.4142     0.05434254   -1.68660924 
2.0000     0.02819910   -1.95909723 
2.0000     0.02819910   -1.95909723 
2.0000     0.02819910   -1.95909723 
2.0000     0.02819910   -1.95909723 
2.2361     0.02533674   -2.04920401 
2.2361     0.02533674   -2.04920401 
2.2361     0.02533674   -2.04920401 
2.2361     0.02533674   -2.04920401 
2.2361     0.02533674   -2.04920401 
2.2361     0.02533674   -2.04920401 
2.2361     0.02533674   -2.04920401 
2.2361     0.02533674   -2.04920401 
2.8284     0.01814343   -2.24780289 
2.8284     0.01814343   -2.24780289 
2.8284     0.01814343   -2.24780289 
2.8284     0.01814343   -2.24780289 
3.0000     0.01591722   -2.29958068 
3.0000     0.01591722   -2.29958068 
3.0000     0.01591722   -2.29958068 
3.0000     0.01591722   -2.29958068 
3.1623     0.01496306   -2.34607657 
3.1623     0.01496306   -2.34607657 
3.1623     0.01496306   -2.34607657 
3.1623     0.01496306   -2.34607657 
3.1623     0.01496306   -2.34607657 
3.1623     0.01496306   -2.34607657 
3.1623     0.01496306   -2.34607657 
3.1623     0.01496306   -2.34607657 
3.6056     0.01252743   -2.46455497 
3.6056     0.01252743   -2.46455497 
3.6056     0.01252743   -2.46455497 
3.6056     0.01252743   -2.46455497 
3.6056     0.01252743   -2.46455497 
3.6056     0.01252743   -2.46455497 
3.6056     0.01252743   -2.46455497 
3.6056     0.01252743   -2.46455497 
4.0000     0.01051984   -2.56112229 
4.0000     0.01051984   -2.56112229 
4.0000     0.01051984   -2.56112229 
4.0000     0.01051984   -2.56112229 
4.1231     0.01011783   -2.58970757 
4.1231     0.01011783   -2.58970757 
4.1231     0.01011783   -2.58970757 
4.1231     0.01011783   -2.58970757 
4.1231     0.01011783   -2.58970757 
4.1231     0.01011783   -2.58970757 
4.1231     0.01011783   -2.58970757 
4.1231     0.01011783   -2.58970757 
4.2426     0.00986356   -2.61680165 
4.2426     0.00986356   -2.61680165 
