r          d               f
#0.0000     103.38491974 -0.24764906 
2.0024     0.11427219   -1.31770321 
2.0024     0.11427219   -1.31770321 
2.1794     0.35965466   -1.24406489 
2.1794     0.35965466   -1.24406489 
2.2955     0.13773011   -1.53556932 
2.2955     0.13773011   -1.53556932 
3.5000     0.30189342   -1.68496187 
3.5000     0.30189342   -1.68496187 
3.7159     0.05520888   -1.91883058 
3.7159     0.05520888   -1.91883058 
4.0036     0.03865451   -1.94737594 
4.0036     0.03865451   -1.94737594 
4.0048     0.07896932   -1.92905072 
4.0048     0.07896932   -1.92905072 
4.3589     0.16955347   -1.96405972 
4.3589     0.16955347   -1.96405972 
4.5910     0.04232745   -2.11255553 
4.5910     0.04232745   -2.11255553 
5.2697     0.13200481   -2.16863125 
5.2697     0.13200481   -2.16863125 
5.4763     0.15481537   -2.19573574 
5.4763     0.15481537   -2.19573574 
5.5105     0.00630527   -2.27779456 
5.5105     0.00630527   -2.27779456 
5.8433     0.03425543   -2.34945004 
5.8433     0.03425543   -2.34945004 
6.0072     0.04963241   -2.34120684 
6.0072     0.04963241   -2.34120684 
6.0240     0.05564554   -2.34133465 
6.0240     0.05564554   -2.34133465 
6.1519     0.00374024   -2.38636520 
6.1519     0.00374024   -2.38636520 
6.5383     0.09259882   -2.40961742 
6.5383     0.09259882   -2.40961742 
6.8864     0.02015754   -2.51560177 
6.8864     0.02015754   -2.51560177 
7.0000     0.10221950   -2.47763189 
7.0000     0.10221950   -2.47763189 
7.1629     0.07319671   -2.51623054 
7.1629     0.07319671   -2.51623054 
7.4123     0.00719119   -2.58322876 
7.4123     0.00719119   -2.58322876 
7.4317     0.01613492   -2.59616780 
7.4317     0.01613492   -2.59616780 
7.5651     0.09050889   -2.56744448 
7.5651     0.09050889   -2.56744448 
8.0072     0.02011050   -2.66245393 
8.0072     0.02011050   -2.66245393 
8.0096     0.03396954   -2.65660081 
8.0096     0.03396954   -2.65660081 
8.0635     0.02015215   -2.68772236 
8.0635     0.02015215   -2.68772236 
8.1270     0.04548688   -2.66758033 
8.1270     0.04548688   -2.66758033 
8.3787     0.00177713   -2.72269410 
8.3787     0.00177713   -2.72269410 
8.7178     0.05987168   -2.73989971 
8.7178     0.05987168   -2.73989971 
8.7195     0.06744730   -2.73660125 
8.7195     0.06744730   -2.73660125 
8.9292     0.07226408   -2.76140058 
8.9292     0.07226408   -2.76140058 
9.1030     0.04679138   -2.79522173 
9.1030     0.04679138   -2.79522173 
9.1819     0.01178252   -2.83102624 
9.1819     0.01178252   -2.83102624 
9.1835     0.00532400   -2.82844169 
9.1835     0.00532400   -2.82844169 
9.3562     0.01026271   -2.84311828 
9.3562     0.01026271   -2.84311828 
9.5202     0.01353497   -2.87354752 
9.5202     0.01353497   -2.87354752 
9.6939     0.05996388   -2.86186182 
9.6939     0.05996388   -2.86186182 
9.9942     0.02261621   -2.91446510 
9.9942     0.02261621   -2.91446510 
10.0120    0.02493544   -2.91552086 
10.0120    0.02493544   -2.91552086 
10.1233    0.00809822   -2.93595317 
10.1233    0.00809822   -2.93595317 
10.2620    0.03567257   -2.93975822 
10.2620    0.03567257   -2.93975822 
10.3166    0.01281548   -2.96734726 
10.3166    0.01281548   -2.96734726 
10.5000    0.05468349   -2.95828585 
10.5000    0.05468349   -2.95828585 
10.5393    0.04680559   -2.96633250 
10.5393    0.04680559   -2.96633250 
10.6347    0.00259493   -2.99900409 
10.6347    0.00259493   -2.99900409 
10.8972    0.04263252   -3.00812486 
10.8972    0.04263252   -3.00812486 
10.9527    0.05243346   -3.00974765 
10.9527    0.05243346   -3.00974765 
11.0210    0.00007326   -3.04057510 
11.0210    0.00007326   -3.04057510 
11.0654    0.03277089   -3.03097530 
11.0654    0.03277089   -3.03097530 
11.1476    0.00757050   -3.05764689 
11.1476    0.00757050   -3.05764689 
11.3205    0.01035016   -3.06845474 
11.3205    0.01035016   -3.06845474 
11.4774    0.00773550   -3.09301713 
11.4774    0.00773550   -3.09301713 
11.6866    0.01021853   -3.11608622 
11.6866    0.01021853   -3.11608622 
11.8411    0.04311708   -3.10858502 
11.8411    0.04311708   -3.10858502 
12.0108    0.01190497   -3.13998499 
12.0108    0.01190497   -3.13998499 
12.0144    0.01925110   -3.13711279 
12.0144    0.01925110   -3.13711279 
12.0480    0.02107914   -3.13973268 
12.0480    0.02107914   -3.13973268 
12.1979    0.04143520   -3.14583968 
12.1979    0.04143520   -3.14583968 
12.3039    0.00343993   -3.17340496 
12.3039    0.00343993   -3.17340496 
12.4085    0.04329000   -3.16616619 
12.4085    0.04329000   -3.16616619 
12.4124    0.02840713   -3.17325705 
12.4124    0.02840713   -3.17325705 
12.4155    0.03416282   -3.17098607 
12.4155    0.03416282   -3.17098607 
12.5851    0.00874558   -3.20670845 
12.5851    0.00874558   -3.20670845 
12.8811    0.00349204   -3.23343451 
12.8811    0.00349204   -3.23343451 
12.9046    0.00246083   -3.23526735 
12.9046    0.00246083   -3.23526735 
12.9076    0.00263269   -3.23334412 
12.9076    0.00263269   -3.23334412 
13.0266    0.03959081   -3.22844289 
13.0266    0.03959081   -3.22844289 
13.0399    0.02442670   -3.23652509 
13.0399    0.02442670   -3.23652509 
13.0767    0.03228788   -3.23654935 
13.0767    0.03228788   -3.23654935 
13.2190    0.00704711   -3.26745490 
13.2190    0.00704711   -3.26745490 
13.2962    0.00960154   -3.26755454 
13.2962    0.00960154   -3.26755454 
13.7729    0.00547111   -3.31871763 
13.7729    0.00547111   -3.31871763 
13.8945    0.00768880   -3.33087003 
13.8945    0.00768880   -3.33087003 
13.9766    0.03199203   -3.32093738 
13.9766    0.03199203   -3.32093738 
13.9835    0.01278909   -3.33009671 
13.9835    0.01278909   -3.33009671 
13.9983    0.03278786   -3.32255657 
13.9983    0.03278786   -3.32255657 
14.0000    0.03511951   -3.32166503 
14.0000    0.03511951   -3.32166503 
14.0168    0.01542286   -3.33197510 
14.0168    0.01542286   -3.33197510 
14.1129    0.00662874   -3.34456827 
14.1129    0.00662874   -3.34456827 
14.1394    0.01869044   -3.34166765 
14.1394    0.01869044   -3.34166765 
14.3259    0.02601362   -3.35521442 
14.3259    0.02601362   -3.35521442 
14.3942    0.03454801   -3.35750438 
14.3942    0.03454801   -3.35750438 
14.5199    0.00142589   -3.38334822 
14.5199    0.00142589   -3.38334822 
14.5714    0.02313577   -3.37837190 
14.5714    0.02313577   -3.37837190 
14.6832    0.00093532   -3.39880861 
14.6832    0.00093532   -3.39880861 
14.8246    0.00378281   -3.40915915 
14.8246    0.00378281   -3.40915915 
14.8619    0.00630399   -3.41678631 
14.8619    0.00630399   -3.41678631 
14.8635    0.00437556   -3.41609440 
14.8635    0.00437556   -3.41609440 
15.0218    0.01904002   -3.41959985 
15.0218    0.01904002   -3.41959985 
15.1302    0.03098239   -3.42363574 
15.1302    0.03098239   -3.42363574 
15.1822    0.00214698   -3.44270754 
15.1822    0.00214698   -3.44270754 
15.2561    0.02552149   -3.43688111 
15.2561    0.02552149   -3.43688111 
15.2788    0.00867782   -3.44626238 
15.2788    0.00867782   -3.44626238 
15.3542    0.00597163   -3.45905734 
15.3542    0.00597163   -3.45905734 
15.6859    0.02852252   -3.47191576 
15.6859    0.02852252   -3.47191576 
15.8090    0.02526817   -3.48364371 
15.8090    0.02526817   -3.48364371 
15.8969    0.02945266   -3.48908341 
15.8969    0.02945266   -3.48908341 
16.0099    0.01244089   -3.50597660 
16.0099    0.01244089   -3.50597660 
16.0144    0.00803435   -3.50828172 
16.0144    0.00803435   -3.50828172 
