r           d          f
9.6928     0.0022     -3.18769090
9.6928     0.0022     -3.18769090
9.7089     0.0014     -3.18974660
9.7089     0.0014     -3.18974660
9.7280     0.0066     -3.18946567
9.7280     0.0066     -3.18946567
9.7544     0.0047     -3.19307777
9.7544     0.0047     -3.19307777
9.8549     0.0037     -3.20404126
9.8549     0.0037     -3.20404126
9.8809     0.0008     -3.20802576
9.8809     0.0008     -3.20802576
9.9073     0.0054     -3.20878266
9.9073     0.0054     -3.20878266
9.9692     0.0022     -3.21661106
9.9692     0.0022     -3.21661106
10.0065    0.0048     -3.21932138
10.0065    0.0048     -3.21932138
10.0240    0.0053     -3.22091695
10.0240    0.0053     -3.22091695
10.1044    0.0042     -3.22966352
10.1044    0.0042     -3.22966352
10.1563    0.0056     -3.23436791
10.1563    0.0056     -3.23436791
10.2013    0.0027     -3.24020028
10.2013    0.0027     -3.24020028
10.2813    0.0061     -3.24687080
10.2813    0.0061     -3.24687080
10.3023    0.0056     -3.24918056
10.3023    0.0056     -3.24918056
10.3144    0.0035     -3.25132235
10.3144    0.0035     -3.25132235
10.3559    0.0010     -3.25660462
10.3559    0.0010     -3.25660462
10.3991    0.0057     -3.25890327
10.3991    0.0057     -3.25890327
10.4599    0.0014     -3.26685781
10.4599    0.0014     -3.26685781
10.4639    0.0008     -3.26753825
10.4639    0.0008     -3.26753825
10.4684    0.0010     -3.26787519
10.4684    0.0010     -3.26787519
10.5599    0.0016     -3.27670684
10.5599    0.0016     -3.27670684
10.6300    0.0029     -3.28309959
10.6300    0.0029     -3.28309959
10.7323    0.0039     -3.29273246
10.7323    0.0039     -3.29273246
10.7448    0.0056     -3.29321297
10.7448    0.0056     -3.29321297
10.7698    0.0019     -3.29727280
10.7698    0.0019     -3.29727280
10.7776    0.0007     -3.29853847
10.7776    0.0007     -3.29853847
10.8050    0.0045     -3.29956288
10.8050    0.0045     -3.29956288
10.8901    0.0031     -3.30845298
10.8901    0.0031     -3.30845298
10.9131    0.0054     -3.30965635
10.9131    0.0054     -3.30965635
11.0420    0.0023     -3.32343521
11.0420    0.0023     -3.32343521
11.1035    0.0048     -3.32823422
11.1035    0.0048     -3.32823422
11.1840    0.0053     -3.33567483
11.1840    0.0053     -3.33567483
11.2231    0.0013     -3.34116340
11.2231    0.0013     -3.34116340
11.2686    0.0023     -3.34501637
11.2686    0.0023     -3.34501637
11.2798    0.0008     -3.34671519
11.2798    0.0008     -3.34671519
11.3950    0.0010     -3.35748997
11.3950    0.0010     -3.35748997
11.4280    0.0041     -3.35920788
11.4280    0.0041     -3.35920788
11.4549    0.0007     -3.36319338
11.4549    0.0007     -3.36319338
11.4756    0.0037     -3.36382638
11.4756    0.0037     -3.36382638
11.4816    0.0044     -3.36408242
11.4816    0.0044     -3.36408242
11.5278    0.0013     -3.36973247
11.5278    0.0013     -3.36973247
11.5401    0.0018     -3.37063804
11.5401    0.0018     -3.37063804
11.6106    0.0048     -3.37586312
11.6106    0.0048     -3.37586312
11.6232    0.0032     -3.37771863
11.6232    0.0032     -3.37771863
11.6352    0.0046     -3.37823344
11.6352    0.0046     -3.37823344
11.7047    0.0006     -3.38634807
11.7047    0.0006     -3.38634807
11.7060    0.0050     -3.38458309
11.7060    0.0050     -3.38458309
11.7276    0.0032     -3.38732086
11.7276    0.0032     -3.38732086
11.7329    0.0038     -3.38756491
11.7329    0.0038     -3.38756491
11.8468    0.0017     -3.39890186
11.8468    0.0017     -3.39890186
11.8672    0.0028     -3.40026539
11.8672    0.0028     -3.40026539
11.8847    0.0046     -3.40104185
11.8847    0.0046     -3.40104185
11.9327    0.0026     -3.40628278
11.9327    0.0026     -3.40628278
11.9467    0.0010     -3.40825510
11.9467    0.0010     -3.40825510
11.9482    0.0041     -3.40701528
11.9482    0.0041     -3.40701528
12.1137    0.0014     -3.42307283
12.1137    0.0014     -3.42307283
12.1325    0.0007     -3.42508819
12.1325    0.0007     -3.42508819
12.2016    0.0023     -3.43054021
12.2016    0.0023     -3.43054021
12.2244    0.0046     -3.43157808
12.2244    0.0046     -3.43157808
12.3004    0.0046     -3.43832447
12.3004    0.0046     -3.43832447
12.3377    0.0020     -3.44274689
12.3377    0.0020     -3.44274689
12.3627    0.0043     -3.44396254
12.3627    0.0043     -3.44396254
12.4405    0.0009     -3.45226244
12.4405    0.0009     -3.45226244
12.4602    0.0007     -3.45407957
12.4602    0.0007     -3.45407957
12.5972    0.0012     -3.46582209
12.5972    0.0012     -3.46582209
12.6194    0.0019     -3.46743209
12.6194    0.0019     -3.46743209
12.6469    0.0044     -3.46872496
12.6469    0.0044     -3.46872496
12.6556    0.0006     -3.47113571
12.6556    0.0006     -3.47113571
12.6843    0.0032     -3.47248639
12.6843    0.0032     -3.47248639
12.7205    0.0008     -3.47666324
12.7205    0.0008     -3.47666324
12.7362    0.0027     -3.47716712
12.7362    0.0027     -3.47716712
12.7526    0.0011     -3.47927922
12.7526    0.0011     -3.47927922
12.8278    0.0036     -3.48468043
12.8278    0.0036     -3.48468043
12.8640    0.0035     -3.48779908
12.8640    0.0035     -3.48779908
12.8722    0.0033     -3.48862108
12.8722    0.0033     -3.48862108
12.9238    0.0015     -3.49380758
12.9238    0.0015     -3.49380758
12.9456    0.0037     -3.49468147
12.9456    0.0037     -3.49468147
12.9572    0.0042     -3.49548300
12.9572    0.0042     -3.49548300
12.9702    0.0029     -3.49711306
12.9702    0.0029     -3.49711306
12.9809    0.0022     -3.49833785
12.9809    0.0022     -3.49833785
13.0185    0.0006     -3.50223911
13.0185    0.0006     -3.50223911
13.1125    0.0016     -3.50976641
13.1125    0.0016     -3.50976641
13.1155    0.0038     -3.50902388
13.1155    0.0038     -3.50902388
13.1443    0.0042     -3.51130052
13.1443    0.0042     -3.51130052
