r           d           f
26.65      0.0073     -3.88325575
22.95      0.0092     -3.68845582
24.14      0.0085     -3.75388432
20.69      0.0104     -3.55812892
21.79      0.0098     -3.62302556
18.69      0.0114     -3.43296288
19.65      0.0110     -3.49447189
17.02      0.0114     -3.32115978
17.80      0.0115     -3.37473694
30.62      0.0058     -4.07041908
24.63      0.0079     -3.77990943
29.27      0.0063     -4.00912427
27.61      0.0067     -3.93048643
18.80      0.0113     -3.43998015
21.69      0.0094     -3.61701669
13.32      0.0159     -3.03871192
15.99      0.0136     -3.24721057
8.89       0.0100     -2.61465040
10.89      0.0163     -2.82028560
7.63       0.0124     -2.47408983
7.68       0.0060     -2.47717173
10.72      0.0073     -2.80832766
8.77       0.0014     -2.60602866
15.79      0.0098     -3.23431603
16.34      0.0108     -3.27379470
13.13      0.0099     -3.02567835
18.04      0.0080     -3.39236475
12.91      0.0070     -3.00789759
19.24      0.0092     -3.46940207
18.59      0.0087     -3.42769664
15.38      0.0082     -3.20435910
9.23       0.0060     -2.65888808
10.78      0.0024     -2.81576728
20.84      0.0094     -3.56732985
20.00      0.0094     -3.51631709
9.01       0.0011     -2.63292698
8.57       0.0100     -2.58674763
22.75      0.0088     -3.67776211
21.76      0.0092     -3.62143520
12.44      0.0134     -2.96490289
10.41      0.0095     -2.77600906
24.91      0.0080     -3.79429296
23.80      0.0084     -3.73558022
17.49      0.0116     -3.35369779
14.86      0.0131     -3.16283061
27.25      0.0071     -3.91259628
26.06      0.0075     -3.85342319
23.12      0.0084     -3.69855184
20.26      0.0099     -3.53248387
29.73      0.0062     -4.02998299
28.47      0.0066     -3.97152283
29.00      0.0062     -3.99633229
26.04      0.0072     -3.85275331
32.32      0.0054     -4.14489171
31.01      0.0058     -4.08781258
34.99      0.0047     -4.25648511
32.32      0.0054     -4.14489171
33.65      0.0050     -4.20113523
31.99      0.0054     -4.13053502
29.73      0.0062     -4.02998299
31.01      0.0058     -4.08781258
27.25      0.0071     -3.91259628
28.47      0.0066     -3.97152283
24.91      0.0080     -3.79429296
26.06      0.0075     -3.85342319
22.75      0.0088     -3.67776211
23.80      0.0084     -3.73558022
20.84      0.0094     -3.56732985
21.76      0.0092     -3.62143520
19.24      0.0092     -3.46940207
20.00      0.0094     -3.51631709
34.99      0.0047     -4.25648511
29.00      0.0062     -3.99633229
33.65      0.0050     -4.20113523
31.99      0.0054     -4.13053502
23.12      0.0084     -3.69855184
26.04      0.0072     -3.85275331
17.49      0.0116     -3.35369779
20.26      0.0099     -3.53248387
12.44      0.0134     -2.96490289
14.86      0.0131     -3.16283061
9.01       0.0011     -2.63292698
10.41      0.0095     -2.77600906
9.23       0.0060     -2.65888808
8.57       0.0100     -2.58674763
12.91      0.0070     -3.00789759
10.78      0.0024     -2.81576728
18.04      0.0080     -3.39236475
18.59      0.0087     -3.42769664
15.38      0.0082     -3.20435910
20.30      0.0067     -3.53608099
15.11      0.0063     -3.18532014
21.47      0.0076     -3.60547464
20.84      0.0073     -3.56814229
17.62      0.0069     -3.36453831
11.05      0.0015     -2.84406731
12.87      0.0038     -3.00589071
23.01      0.0078     -3.69260487
22.20      0.0078     -3.64723486
9.67       0.0066     -2.70706847
9.91       0.0074     -2.73224974
24.84      0.0076     -3.79122369
23.89      0.0078     -3.74082679
11.93      0.0086     -2.92165303
10.41      0.0016     -2.77923576
26.91      0.0070     -3.89628261
25.85      0.0073     -3.84320827
16.40      0.0111     -3.27768645
14.00      0.0112     -3.09629943
29.17      0.0063     -4.00411986
28.02      0.0067     -3.95003271
21.74      0.0087     -3.62070548
19.00      0.0100     -3.45392344
31.57      0.0056     -4.11226768
30.35      0.0060     -4.05827073
27.46      0.0065     -3.92343440
24.57      0.0075     -3.77708448
34.08      0.0050     -4.21915355
32.81      0.0053     -4.16593954
33.37      0.0050     -4.18944352
30.40      0.0057     -4.06058029
36.69      0.0044     -4.32382792
35.38      0.0047     -4.27180835
39.37      0.0039     -4.42575590
36.69      0.0044     -4.32382792
38.02      0.0042     -4.37515682
36.36      0.0044     -4.31090439
34.08      0.0050     -4.21915355
35.38      0.0047     -4.27180835
31.57      0.0056     -4.11226768
32.81      0.0053     -4.16593954
29.17      0.0063     -4.00411986
30.35      0.0060     -4.05827073
26.91      0.0070     -3.89628261
28.02      0.0067     -3.95003271
24.84      0.0076     -3.79122369
25.85      0.0073     -3.84320827
23.01      0.0078     -3.69260487
23.89      0.0078     -3.74082679
21.47      0.0076     -3.60547464
22.20      0.0078     -3.64723486
39.37      0.0039     -4.42575590
33.37      0.0050     -4.18944352
38.02      0.0042     -4.37515682
36.36      0.0044     -4.31090439
27.46      0.0065     -3.92343440
30.40      0.0057     -4.06058029
21.74      0.0087     -3.62070548
24.57      0.0075     -3.77708448
16.40      0.0111     -3.27768645
19.00      0.0100     -3.45392344
11.93      0.0086     -2.92165303
14.00      0.0112     -3.09629943
9.67       0.0066     -2.70706847
10.41      0.0016     -2.77923576
11.05      0.0015     -2.84406731
9.91       0.0074     -2.73224974
15.11      0.0063     -3.18532014
12.87      0.0038     -3.00589071
20.30      0.0067     -3.53608099
20.84      0.0073     -3.56814229
17.62      0.0069     -3.36453831
22.56      0.0057     -3.66818197
17.33      0.0056     -3.34521012
23.71      0.0065     -3.73144308
23.09      0.0061     -3.69759211
19.87      0.0059     -3.51010862
13.01      0.0009     -3.01970196
15.00      0.0042     -3.17814619
25.20      0.0067     -3.80995475
24.41      0.0066     -3.76910373
10.77      0.0068     -2.81909974
11.53      0.0039     -2.89038246
26.96      0.0065     -3.89894242
26.05      0.0066     -3.85341222
11.84      0.0030     -2.91561775
10.88      0.0037     -2.82849219
28.96      0.0062     -3.99438137
27.93      0.0064     -3.94607023
15.55      0.0096     -3.21700568
13.47      0.0078     -3.05452050
31.13      0.0057     -4.09318884
30.02      0.0059     -4.04352079
20.52      0.0087     -3.54862813
17.94      0.0095     -3.38473312
33.46      0.0051     -4.19315491
32.28      0.0054     -4.14313552
26.04      0.0068     -3.85277927
23.23      0.0077     -3.70500406
35.90      0.0046     -4.29277163
34.67      0.0049     -4.24307885
31.82      0.0053     -4.12324664
28.90      0.0060     -3.99201875
38.44      0.0042     -4.39105287
37.16      0.0044     -4.34212486
37.74      0.0041     -4.36437225
34.76      0.0047     -4.24713585
41.06      0.0037     -4.48738233
39.74      0.0039     -4.43948902
43.74      0.0033     -4.58139844
41.06      0.0037     -4.48738233
42.39      0.0035     -4.53469469
40.73      0.0037     -4.47559927
38.44      0.0042     -4.39105287
39.74      0.0039     -4.43948902
35.90      0.0046     -4.29277163
37.16      0.0044     -4.34212486
33.46      0.0051     -4.19315491
34.67      0.0049     -4.24307885
31.13      0.0057     -4.09318884
32.28      0.0054     -4.14313552
28.96      0.0062     -3.99438137
30.02      0.0059     -4.04352079
26.96      0.0065     -3.89894242
27.93      0.0064     -3.94607023
25.20      0.0067     -3.80995475
26.05      0.0066     -3.85341222
23.71      0.0065     -3.73144308
24.41      0.0066     -3.76910373
43.74      0.0033     -4.58139844
37.74      0.0041     -4.36437225
42.39      0.0035     -4.53469469
40.73      0.0037     -4.47559927
31.82      0.0053     -4.12324664
34.76      0.0047     -4.24713585
26.04      0.0068     -3.85277927
28.90      0.0060     -3.99201875
20.52      0.0087     -3.54862813
23.23      0.0077     -3.70500406
15.55      0.0096     -3.21700568
17.94      0.0095     -3.38473312
11.84      0.0030     -2.91561775
13.47      0.0078     -3.05452050
10.77      0.0068     -2.81909974
10.88      0.0037     -2.82849219
13.01      0.0009     -3.01970196
11.53      0.0039     -2.89038246
17.33      0.0056     -3.34521012
15.00      0.0042     -3.17814619
22.56      0.0057     -3.66818197
23.09      0.0061     -3.69759211
19.87      0.0059     -3.51010862
24.81      0.0049     -3.79065230
19.56      0.0050     -3.49095633
25.95      0.0055     -3.84887837
25.34      0.0053     -3.81786586
22.12      0.0051     -3.64382424
15.06      0.0021     -3.18317605
17.17      0.0041     -3.33511992
27.39      0.0058     -3.92036396
26.64      0.0057     -3.88320440
12.19      0.0049     -2.95087958
13.34      0.0013     -3.04825474
29.10      0.0057     -4.00138021
28.22      0.0058     -3.95989812
12.17      0.0015     -2.94741574
11.78      0.0054     -2.91360387
31.03      0.0055     -4.08868004
30.04      0.0056     -4.04442271
15.00      0.0070     -3.17683739
13.30      0.0037     -3.04264818
33.13      0.0051     -4.17966761
32.06      0.0053     -4.13384916
19.48      0.0083     -3.48509762
17.11      0.0083     -3.32886294
35.39      0.0047     -4.27238937
34.25      0.0049     -4.22591105
24.73      0.0069     -3.78570917
22.04      0.0077     -3.63843467
37.77      0.0043     -4.36543943
36.56      0.0045     -4.31894304
30.35      0.0055     -4.05858618
27.51      0.0061     -3.92580408
40.24      0.0039     -4.45784248
38.99      0.0041     -4.41176910
36.17      0.0043     -4.30361763
33.24      0.0049     -4.18436315
42.80      0.0035     -4.54894494
41.51      0.0037     -4.50358716
42.11      0.0035     -4.52467121
39.13      0.0039     -4.41688035
45.43      0.0032     -4.63832618
44.11      0.0033     -4.59386992
48.12      0.0029     -4.72573043
45.43      0.0032     -4.63832618
46.77      0.0030     -4.68228642
45.11      0.0032     -4.62747457
42.80      0.0035     -4.54894494
44.11      0.0033     -4.59386992
40.24      0.0039     -4.45784248
41.51      0.0037     -4.50358716
37.77      0.0043     -4.36543943
38.99      0.0041     -4.41176910
35.39      0.0047     -4.27238937
36.56      0.0045     -4.31894304
33.13      0.0051     -4.17966761
34.25      0.0049     -4.22591105
31.03      0.0055     -4.08868004
32.06      0.0053     -4.13384916
29.10      0.0057     -4.00138021
30.04      0.0056     -4.04442271
27.39      0.0058     -3.92036396
28.22      0.0058     -3.95989812
25.95      0.0055     -3.84887837
26.64      0.0057     -3.88320440
48.12      0.0029     -4.72573043
42.11      0.0035     -4.52467121
46.77      0.0030     -4.68228642
45.11      0.0032     -4.62747457
36.17      0.0043     -4.30361763
39.13      0.0039     -4.41688035
30.35      0.0055     -4.05858618
33.24      0.0049     -4.18436315
24.73      0.0069     -3.78570917
27.51      0.0061     -3.92580408
19.48      0.0083     -3.48509762
22.04      0.0077     -3.63843467
15.00      0.0070     -3.17683739
17.11      0.0083     -3.32886294
12.17      0.0015     -2.94741574
13.30      0.0037     -3.04264818
12.19      0.0049     -2.95087958
11.78      0.0054     -2.91360387
15.06      0.0021     -3.18317605
13.34      0.0013     -3.04825474
19.56      0.0050     -3.49095633
