r           d           f
14.0730    0.0023     -3.25249152
14.0730    0.0023     -3.25249152
14.1993    0.0133     -3.25774737
14.1993    0.0133     -3.25774737
14.2136    0.0124     -3.25930042
14.2136    0.0124     -3.25930042
14.2222    0.0184     -3.25730549
14.2222    0.0184     -3.25730549
14.2321    0.0060     -3.26354327
14.2321    0.0060     -3.26354327
14.2755    0.0011     -3.27010561
14.2755    0.0011     -3.27010561
14.3098    0.0008     -3.27267622
14.3098    0.0008     -3.27267622
14.7313    0.0136     -3.29932103
14.7313    0.0136     -3.29932103
14.7613    0.0175     -3.29990428
14.7613    0.0175     -3.29990428
14.7742    0.0092     -3.30453486
14.7742    0.0092     -3.30453486
14.8109    0.0023     -3.31237360
14.8109    0.0023     -3.31237360
14.8182    0.0181     -3.30402344
14.8182    0.0181     -3.30402344
14.8688    0.0038     -3.31748967
14.8688    0.0038     -3.31748967
14.9237    0.0027     -3.32120089
14.9237    0.0027     -3.32120089
15.3740    0.0141     -3.34795758
15.3740    0.0141     -3.34795758
15.4162    0.0140     -3.35114473
15.4162    0.0140     -3.35114473
15.4694    0.0029     -3.36248627
15.4694    0.0029     -3.36248627
15.4797    0.0027     -3.36085236
15.4797    0.0027     -3.36085236
15.5375    0.0157     -3.35943666
15.5375    0.0157     -3.35943666
15.6272    0.0000     -3.37293709
15.6272    0.0000     -3.37293709
15.6597    0.0112     -3.37045952
15.6597    0.0112     -3.37045952
15.6926    0.0056     -3.37536109
15.6926    0.0056     -3.37536109
15.7546    0.0162     -3.37524209
15.7546    0.0162     -3.37524209
15.8055    0.0053     -3.38376541
15.8055    0.0053     -3.38376541
15.8164    0.0035     -3.38534722
15.8164    0.0035     -3.38534722
15.8709    0.0032     -3.39226737
15.8709    0.0032     -3.39226737
15.9323    0.0071     -3.39226515
15.9323    0.0071     -3.39226515
15.9646    0.0018     -3.39690325
15.9646    0.0018     -3.39690325
16.0153    0.0159     -3.39441961
16.0153    0.0159     -3.39441961
16.1251    0.0018     -3.41010188
16.1251    0.0018     -3.41010188
16.1269    0.0141     -3.40329363
16.1269    0.0141     -3.40329363
16.1934    0.0086     -3.41050354
16.1934    0.0086     -3.41050354
16.2360    0.0030     -3.41863682
16.2360    0.0030     -3.41863682
16.2463    0.0004     -3.41789788
16.2463    0.0004     -3.41789788
16.2516    0.0080     -3.41494903
16.2516    0.0080     -3.41494903
16.5825    0.0098     -3.43773526
16.5825    0.0098     -3.43773526
16.6548    0.0008     -3.44744976
16.6548    0.0008     -3.44744976
16.8193    0.0149     -3.45217010
16.8193    0.0149     -3.45217010
16.8345    0.0119     -3.45452477
16.8345    0.0119     -3.45452477
16.8796    0.0135     -3.45699062
16.8796    0.0135     -3.45699062
16.8984    0.0028     -3.46297387
16.8984    0.0028     -3.46297387
16.9427    0.0026     -3.46840723
16.9427    0.0026     -3.46840723
16.9709    0.0006     -3.46897004
16.9709    0.0006     -3.46897004
16.9753    0.0137     -3.46354771
16.9753    0.0137     -3.46354771
17.0909    0.0106     -3.47291592
17.0909    0.0106     -3.47291592
17.0961    0.0029     -3.47919185
17.0961    0.0029     -3.47919185
17.1230    0.0096     -3.47558923
17.1230    0.0096     -3.47558923
17.1559    0.0051     -3.47982547
17.1559    0.0051     -3.47982547
17.1810    0.0016     -3.48445021
17.1810    0.0016     -3.48445021
17.2559    0.0140     -3.48280547
17.2559    0.0140     -3.48280547
17.3692    0.0010     -3.49713225
17.3692    0.0010     -3.49713225
17.7083    0.0111     -3.51483190
17.7083    0.0111     -3.51483190
17.7291    0.0070     -3.51799904
17.7291    0.0070     -3.51799904
17.8145    0.0020     -3.52768759
17.8145    0.0020     -3.52768759
17.9055    0.0131     -3.52718190
17.9055    0.0131     -3.52718190
17.9425    0.0135     -3.52946290
17.9425    0.0135     -3.52946290
18.0365    0.0027     -3.54276002
18.0365    0.0027     -3.54276002
18.0499    0.0037     -3.54090513
18.0499    0.0037     -3.54090513
18.0718    0.0020     -3.54481851
18.0718    0.0020     -3.54481851
18.0995    0.0049     -3.54363279
18.0995    0.0049     -3.54363279
18.1211    0.0024     -3.54617040
18.1211    0.0024     -3.54617040
18.2427    0.0117     -3.55013847
18.2427    0.0117     -3.55013847
18.2621    0.0103     -3.55203918
18.2621    0.0103     -3.55203918
18.2688    0.0061     -3.55427918
18.2688    0.0061     -3.55427918
18.3116    0.0013     -3.55922890
18.3116    0.0013     -3.55922890
18.3265    0.0028     -3.55950616
18.3265    0.0028     -3.55950616
18.3352    0.0010     -3.56087502
18.3352    0.0010     -3.56087502
18.4237    0.0112     -3.56222592
18.4237    0.0112     -3.56222592
18.5313    0.0123     -3.56873770
18.5313    0.0123     -3.56873770
18.5444    0.0023     -3.57595366
18.5444    0.0023     -3.57595366
18.5545    0.0072     -3.57250270
18.5545    0.0072     -3.57250270
18.5886    0.0083     -3.57421691
18.5886    0.0083     -3.57421691
18.6178    0.0003     -3.57963271
18.6178    0.0003     -3.57963271
18.6215    0.0047     -3.57794349
18.6215    0.0047     -3.57794349
18.6473    0.0005     -3.58186566
18.6473    0.0005     -3.58186566
18.9056    0.0122     -3.59293864
18.9056    0.0122     -3.59293864
18.9514    0.0080     -3.59773251
18.9514    0.0080     -3.59773251
19.0340    0.0005     -3.60673685
19.0340    0.0005     -3.60673685
19.0451    0.0023     -3.60820752
19.0451    0.0023     -3.60820752
19.1139    0.0122     -3.60627147
19.1139    0.0122     -3.60627147
19.2065    0.0062     -3.61474150
19.2065    0.0062     -3.61474150
19.2262    0.0110     -3.61389599
19.2262    0.0110     -3.61389599
19.2481    0.0015     -3.62073337
19.2481    0.0015     -3.62073337
19.3597    0.0023     -3.62812029
19.3597    0.0023     -3.62812029
19.4527    0.0086     -3.62922876
19.4527    0.0086     -3.62922876
19.5533    0.0011     -3.63976490
19.5533    0.0011     -3.63976490
19.6223    0.0102     -3.63913394
19.6223    0.0102     -3.63913394
19.6971    0.0089     -3.64434396
19.6971    0.0089     -3.64434396
19.7158    0.0013     -3.64884673
19.7158    0.0013     -3.64884673
19.7617    0.0028     -3.65102929
19.7617    0.0028     -3.65102929
19.8347    0.0109     -3.65200889
19.8347    0.0109     -3.65200889
19.9530    0.0000     -3.66408878
19.9530    0.0000     -3.66408878
19.9649    0.0114     -3.65983058
19.9649    0.0114     -3.65983058
20.0506    0.0090     -3.66615260
20.0506    0.0090     -3.66615260
20.0559    0.0073     -3.66720121
20.0559    0.0073     -3.66720121
20.0889    0.0043     -3.67052755
20.0889    0.0043     -3.67052755
20.1055    0.0107     -3.66875921
20.1055    0.0107     -3.66875921
20.1117    0.0019     -3.67464177
20.1117    0.0019     -3.67464177
20.1676    0.0015     -3.67787564
20.1676    0.0015     -3.67787564
20.2500    0.0022     -3.68318506
20.2500    0.0022     -3.68318506
20.3142    0.0036     -3.68458993
20.3142    0.0036     -3.68458993
20.3251    0.0026     -3.68565995
20.3251    0.0026     -3.68565995
20.3253    0.0110     -3.68202791
20.3253    0.0110     -3.68202791
20.4106    0.0045     -3.69002770
20.4106    0.0045     -3.69002770
20.4430    0.0017     -3.69319682
20.4430    0.0017     -3.69319682
20.4636    0.0010     -3.69562895
20.4636    0.0010     -3.69562895
20.6126    0.0054     -3.70183661
20.6126    0.0054     -3.70183661
20.6661    0.0009     -3.70698685
20.6661    0.0009     -3.70698685
20.6839    0.0056     -3.70601231
20.6839    0.0056     -3.70601231
20.7367    0.0091     -3.70763322
20.7367    0.0091     -3.70763322
20.8687    0.0017     -3.72022181
20.8687    0.0017     -3.72022181
20.9174    0.0061     -3.71971446
20.9174    0.0061     -3.71971446
20.9911    0.0002     -3.72666458
20.9911    0.0002     -3.72666458
21.0153    0.0090     -3.72425956
21.0153    0.0090     -3.72425956
21.0517    0.0102     -3.72588296
21.0517    0.0102     -3.72588296
21.0747    0.0105     -3.72710648
21.0747    0.0105     -3.72710648
21.1095    0.0015     -3.73312092
21.1095    0.0015     -3.73312092
21.1380    0.0079     -3.73200028
21.1380    0.0079     -3.73200028
21.1610    0.0097     -3.73255733
21.1610    0.0097     -3.73255733
